team_name, image_src
Nevada Wolf Pack, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2440.png&scale=crop&cquality=40&location=origin&w=80&h=80
New Mexico Lobos, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/167.png&scale=crop&cquality=40&location=origin&w=80&h=80
San Diego State Aztecs, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/21.png&scale=crop&cquality=40&location=origin&w=80&h=80
San José State Spartans, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/23.png&scale=crop&cquality=40&location=origin&w=80&h=80
UNLV Rebels, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2439.png&scale=crop&cquality=40&location=origin&w=80&h=80
Utah State Aggies, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png&scale=crop&cquality=40&location=origin&w=80&h=80
Wyoming Cowboys, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2751.png&scale=crop&cquality=40&location=origin&w=80&h=80
Oregon State Beavers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/204.png&scale=crop&cquality=40&location=origin&w=80&h=80
Washington State Cougars, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/265.png&scale=crop&cquality=40&location=origin&w=80&h=80
Alabama Crimson Tide, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&scale=crop&cquality=40&location=origin&w=80&h=80
Arkansas Razorbacks, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png&scale=crop&cquality=40&location=origin&w=80&h=80
Auburn Tigers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&scale=crop&cquality=40&location=origin&w=80&h=80
Florida Gators, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&scale=crop&cquality=40&location=origin&w=80&h=80
Georgia Bulldogs, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&scale=crop&cquality=40&location=origin&w=80&h=80
Kentucky Wildcats, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/96.png&scale=crop&cquality=40&location=origin&w=80&h=80
LSU Tigers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&scale=crop&cquality=40&location=origin&w=80&h=80
Mississippi State Bulldogs, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/344.png&scale=crop&cquality=40&location=origin&w=80&h=80
Missouri Tigers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/142.png&scale=crop&cquality=40&location=origin&w=80&h=80
Oklahoma Sooners, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&scale=crop&cquality=40&location=origin&w=80&h=80
Ole Miss Rebels, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/145.png&scale=crop&cquality=40&location=origin&w=80&h=80
South Carolina Gamecocks, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2579.png&scale=crop&cquality=40&location=origin&w=80&h=80
Tennessee Volunteers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&scale=crop&cquality=40&location=origin&w=80&h=80
Texas A&M Aggies, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&scale=crop&cquality=40&location=origin&w=80&h=80
Texas Longhorns, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&scale=crop&cquality=40&location=origin&w=80&h=80
Vanderbilt Commodores, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/238.png&scale=crop&cquality=40&location=origin&w=80&h=80
App State Mountaineers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png&scale=crop&cquality=40&location=origin&w=80&h=80
Arkansas State Red Wolves, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2032.png&scale=crop&cquality=40&location=origin&w=80&h=80
Coastal Carolina Chanticleers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/324.png&scale=crop&cquality=40&location=origin&w=80&h=80
Georgia Southern Eagles, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/290.png&scale=crop&cquality=40&location=origin&w=80&h=80
Georgia State Panthers, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2247.png&scale=crop&cquality=40&location=origin&w=80&h=80
James Madison Dukes, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/256.png&scale=crop&cquality=40&location=origin&w=80&h=80
Louisiana Ragin' Cajuns, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png&scale=crop&cquality=40&location=origin&w=80&h=80
Marshall Thundering Herd, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png&scale=crop&cquality=40&location=origin&w=80&h=80
Old Dominion Monarchs, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/295.png&scale=crop&cquality=40&location=origin&w=80&h=80
South Alabama Jaguars, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/6.png&scale=crop&cquality=40&location=origin&w=80&h=80
Southern Miss Golden Eagles, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2572.png&scale=crop&cquality=40&location=origin&w=80&h=80
Texas State Bobcats, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/326.png&scale=crop&cquality=40&location=origin&w=80&h=80
Troy Trojans, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2653.png&scale=crop&cquality=40&location=origin&w=80&h=80
Louisiana-Monroe Warhawks, https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2433.png&scale=crop&cquality=40&location=origin&w=80&h=80
